Species,Untransformed ID,Transformed ID,Transformed ID2
A. digitifera,ADIG1,ADIG01,D01
A. digitifera,ADIG2,ADIG02,D02
A. digitifera,ADIG3,ADIG03,D03
A. digitifera,ADIG4,ADIG04,D04
A. digitifera,ADIG5,ADIG05,D05
A. digitifera,ADIG6,ADIG06,D06
A. digitifera,ADIG7,ADIG07,D07
A. digitifera,ADIG8,ADIG08,D08
A. digitifera,ADIG9,ADIG09,D09
A. digitifera,ADIG10,ADIG10,D10
A. digitifera,ADIG11,ADIG11,D11
A. digitifera,ADIG12,ADIG12,D12
A. digitifera,ADIG13,ADIG13,D13
A. digitifera,ADIG14,ADIG14,D14
A. digitifera,ADIG15,ADIG15,D15
A. digitifera,ADIG16,ADIG16,D16
A. digitifera,ADIG17,ADIG17,D17
A. digitifera,ADIG18,ADIG18,D18
A. digitifera,ADIG19,ADIG19,D19
A. digitifera,ADIG20,ADIG20,D20
A. digitifera,ADIG21,ADIG21,D21
A. digitifera,ADIG22,ADIG22,D22
A. digitifera,ADIG23,ADIG23,D23
A. digitifera,ADIG24,ADIG24,D24
A. digitifera,ADIG25,ADIG25,D25
A. digitifera,ADIG26,ADIG26,D26
A. digitifera,ADIG27,ADIG27,D27
A. digitifera,ADIG28,ADIG28,D28
A. digitifera,ADIG29,ADIG29,D29
A. digitifera,ADIG30,ADIG30,D30
A. digitifera,ADIG31,ADIG31,D31
A. digitifera,ADIG32,ADIG32,D32
A. digitifera,ADIG33,ADIG33,D33
A. digitifera,ADIG34,ADIG34,D34
A. digitifera,ADIG35,ADIG35,D35
A. digitifera,ADIG36,ADIG36,D36
A. digitifera,ADIG37,ADIG37,D37
A. digitifera,ADIG38,ADIG38,D38
A. digitifera,ADIG39,ADIG39,D39
A. digitifera,ADIG40,ADIG40,D40
A. millepora,CANA,AMIL01,M01
A. millepora,CANB,AMIL02,M02
A. millepora,CANC,AMIL03,M03
A. millepora,CAND,AMIL04,M04
A. millepora,CANE,AMIL05,M05
A. millepora,CANF,AMIL06,M06
A. millepora,CANG,AMIL07,M07
A. millepora,CANH,AMIL08,M08
A. millepora,CANI,AMIL09,M09
A. millepora,CANJ,AMIL10,M10
A. millepora,CANK,AMIL11,M11
A. millepora,CANL,AMIL12,M12
A. millepora,CANM,AMIL13,M13
A. millepora,CANN,AMIL14,M14
A. millepora,CANO,AMIL15,M15
A. millepora,MAGA,AMIL16,M16
A. millepora,MAGB,AMIL17,M17
A. millepora,MAGC,AMIL18,M18
A. millepora,MAGD,AMIL19,M19
A. millepora,MAGE,AMIL20,M20
A. millepora,MAGF,AMIL21,M21
A. millepora,MAGG,AMIL22,M22
A. millepora,MAGH,AMIL23,M23
A. millepora,MAGI,AMIL24,M24
A. millepora,MAGJ,AMIL25,M25
A. millepora,MAGK,AMIL26,M26
A. millepora,MAGL,AMIL27,M27
A. millepora,MAGM,AMIL28,M28
A. millepora,MAGN,AMIL29,M29
A. millepora,MAGO,AMIL30,M30
A. tenuis,ATEN1,ATEN01,T01
A. tenuis,ATEN2,ATEN02,T02
A. tenuis,ATEN3,ATEN03,T03
A. tenuis,ATEN4,ATEN04,T04
A. tenuis,ATEN5,ATEN05,T05
A. tenuis,ATEN6,ATEN06,T06
A. tenuis,ATEN7,ATEN07,T07
A. tenuis,ATEN8,ATEN08,T08
A. tenuis,ATEN9,ATEN09,T09
A. tenuis,ATEN10,ATEN10,T10
A. tenuis,ATEN11,ATEN11,T11
A. tenuis,ATEN12,ATEN12,T12
A. tenuis,ATEN13,ATEN13,T13
A. tenuis,ATEN14,ATEN14,T14
A. tenuis,ATEN15,ATEN15,T15
A. tenuis,ATEN16,ATEN16,T16
A. tenuis,ATEN17,ATEN17,T17
A. tenuis,ATEN18,ATEN18,T18
A. tenuis,ATEN19,ATEN19,T19
A. tenuis,ATEN20,ATEN20,T20
A. tenuis,ATEN21,ATEN21,T21
A. tenuis,ATEN22,ATEN22,T22
A. tenuis,ATEN23,ATEN23,T23
A. tenuis,ATEN24,ATEN24,T24
A. tenuis,ATEN25,ATEN25,T25
A. tenuis,ATEN26,ATEN26,T26
A. tenuis,ATEN27,ATEN27,T27
A. tenuis,ATEN28,ATEN28,T28
A. tenuis,ATEN29,ATEN29,T29
A. tenuis,ATEN30,ATEN30,T30
