Stats,Df,SumOfSqs,R2,F,Pr(>F),Basis
mor,1,1.4947026864900627e-7,0.14103107772491377,3.776288877927776,0.0246,Mortality-based
Residual,23,9.103689601240551e-7,0.8589689222750863,NA,NA,Mortality-based
Total,24,1.0598392287730613e-6,1,NA,NA,Mortality-based
mig,2,2.757758437315894e-7,0.26020535591124083,3.8689911286790015,0.0086,MIG-based
Residual,22,7.84063385041472e-7,0.7397946440887593,NA,NA,MIG-based
Total,24,1.0598392287730613e-6,1,NA,NA,MIG-based
mor.mig,2,2.692647750392755e-7,0.25406190649405747,3.7465320457083875,0.0093,Mortality+MIG-based
Residual,22,7.905744537337857e-7,0.7459380935059423,NA,NA,Mortality+MIG-based
Total,24,1.0598392287730613e-6,1,NA,NA,Mortality+MIG-based
kmeans,1,1.9226546384420705e-7,0.18141002769522507,5.097094733817127,0.0161,Kmeans-based
Residual,23,8.675737649288544e-7,0.818589972304775,NA,NA,Kmeans-based
Total,24,1.0598392287730613e-6,1,NA,NA,Kmeans-based
