groups,Df,SumOfSqs,R2,F,Pr(>F),P-adjusted
A. digitifera_vs_A. millepora,1,0.21441642047397105,0.08847312176120078,6.600104092800601,0.0077,0.0039
Residual,68,2.2091040364248578,0.9115268782387992,NA,NA,NA
Total,69,2.423520456898829,1,NA,NA,NA
A. digitifera_vs_A. tenuis,1,0.5861351212240935,0.2573424341709651,21.83048298265509,1e-4,3.0000000000000003e-4
Residual,63,1.6915114826573925,0.7426575658290349,NA,NA,NA
Total,64,2.277646603881486,1,NA,NA,NA
A. millepora_vs_A. tenuis,1,0.1786686043303211,0.18673036672257612,12.169038448433685,1e-4,0.0082
Residual,53,0.7781581157487311,0.8132696332774239,NA,NA,NA
Total,54,0.9568267200790522,1,NA,NA,NA
